phrase,list
a,Dolch Pre-Primer
and,Dolch Pre-Primer
away,Dolch Pre-Primer
big,Dolch Pre-Primer
blue,Dolch Pre-Primer
can,Dolch Pre-Primer
come,Dolch Pre-Primer
down,Dolch Pre-Primer
find,Dolch Pre-Primer
for,Dolch Pre-Primer
funny,Dolch Pre-Primer
go,Dolch Pre-Primer
help,Dolch Pre-Primer
here,Dolch Pre-Primer
I,Dolch Pre-Primer
in,Dolch Pre-Primer
is,Dolch Pre-Primer
it,Dolch Pre-Primer
jump,Dolch Pre-Primer
little,Dolch Pre-Primer
look,Dolch Pre-Primer
make,Dolch Pre-Primer
me,Dolch Pre-Primer
my,Dolch Pre-Primer
not,Dolch Pre-Primer
one,Dolch Pre-Primer
play,Dolch Pre-Primer
red,Dolch Pre-Primer
run,Dolch Pre-Primer
said,Dolch Pre-Primer
see,Dolch Pre-Primer
the,Dolch Pre-Primer
three,Dolch Pre-Primer
to,Dolch Pre-Primer
two,Dolch Pre-Primer
up,Dolch Pre-Primer
we,Dolch Pre-Primer
where,Dolch Pre-Primer
yellow,Dolch Pre-Primer
you,Dolch Pre-Primer
all,Dolch Primer
am,Dolch Primer
are,Dolch Primer
at,Dolch Primer
ate,Dolch Primer
be,Dolch Primer
black,Dolch Primer
brown,Dolch Primer
but,Dolch Primer
came,Dolch Primer
did,Dolch Primer
do,Dolch Primer
eat,Dolch Primer
four,Dolch Primer
get,Dolch Primer
good,Dolch Primer
have,Dolch Primer
he,Dolch Primer
into,Dolch Primer
like,Dolch Primer
must,Dolch Primer
new,Dolch Primer
no,Dolch Primer
now,Dolch Primer
on,Dolch Primer
our,Dolch Primer
out,Dolch Primer
please,Dolch Primer
pretty,Dolch Primer
ran,Dolch Primer
ride,Dolch Primer
saw,Dolch Primer
say,Dolch Primer
she,Dolch Primer
so,Dolch Primer
soon,Dolch Primer
that,Dolch Primer
there,Dolch Primer
they,Dolch Primer
this,Dolch Primer
too,Dolch Primer
under,Dolch Primer
